Current CPU threads: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

Sleeping for 5 seconds before running pidstat...

>>> [2/2] Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.19-amd64 (pavlik) 	05/01/2025 	_x86_64_	(32 CPU)

10:09:08 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
10:09:10 PM     0         -       195      2.00      0.00  |__ksoftirqd/29
10:09:10 PM     0       252         -      2.00      0.00  kcompactd0
10:09:10 PM     0         -       252      2.00      0.00  |__kcompactd0
10:09:10 PM     0       273         -      1.00      0.00  kworker/12:1-mm_percpu_wq
10:09:10 PM     0         -       273      1.00      0.00  |__kworker/12:1-mm_percpu_wq
10:09:10 PM     0       371         -      1.00      0.00  kworker/15:1-mm_percpu_wq
10:09:10 PM     0         -       371      1.00      0.00  |__kworker/15:1-mm_percpu_wq
10:09:10 PM     0       500         -      1.00      0.00  kworker/27:1-mm_percpu_wq
10:09:10 PM     0         -       500      1.00      0.00  |__kworker/27:1-mm_percpu_wq
10:09:10 PM     0       502         -      1.00      0.00  kworker/9:1-mm_percpu_wq
10:09:10 PM     0         -       502      1.00      0.00  |__kworker/9:1-mm_percpu_wq
10:09:10 PM     0       507         -      1.00      0.00  kworker/7:1-mm_percpu_wq
10:09:10 PM     0         -       507      1.00      0.00  |__kworker/7:1-mm_percpu_wq
10:09:10 PM     0       513         -      1.00      0.00  kworker/26:1-mm_percpu_wq
10:09:10 PM     0         -       513      1.00      0.00  |__kworker/26:1-mm_percpu_wq
10:09:10 PM     0       514         -      1.00      0.00  kworker/29:1-mm_percpu_wq
10:09:10 PM     0         -       514      1.00      0.00  |__kworker/29:1-mm_percpu_wq
10:09:10 PM     0       516         -      1.00      0.00  kworker/31:1-mm_percpu_wq
10:09:10 PM     0         -       516      1.00      0.00  |__kworker/31:1-mm_percpu_wq
10:09:10 PM  1000      2317         -      2.00      0.00  dbus-daemon
10:09:10 PM  1000         -      2317      2.00      0.00  |__dbus-daemon
10:09:10 PM  1000      2459         -     74.00      2.00  gnome-shell
10:09:10 PM  1000         -      2459     74.00      2.00  |__gnome-shell
10:09:10 PM  1000         -      2478      2.00      0.00  |__gdbus
10:09:10 PM  1000         -      2488     43.00      9.00  |__KMS thread
10:09:10 PM  1000         -      2490     12.00      0.00  |__gnome-shel:cs0
10:09:10 PM  1000         -      2505     33.00      0.00  |__gnome-shel:gl0
10:09:10 PM  1000      2859      2860      1.00      0.00  (gvfs-afc-volume)__gvfs-afc-volume
10:09:10 PM  1000      3280         -      1.00      0.00  gnome-calendar
10:09:10 PM  1000         -      3280      1.00      0.00  |__gnome-calendar
10:09:10 PM  1000      3549         -     17.00      2.00  firefox-esr
10:09:10 PM  1000         -      3549     17.00      2.00  |__firefox-esr
10:09:10 PM  1000         -      3558      2.00      0.00  |__gdbus
10:09:10 PM  1000         -      3560      3.00      1.00  |__glean.dispatche
10:09:10 PM  1000         -      3562    537.00     87.00  |__IPC I/O Parent
10:09:10 PM  1000         -      3573      1.00      8.00  |__Timer
10:09:10 PM  1000         -      3576    472.00     44.00  |__IPDL Background
10:09:10 PM  1000         -      3591      1.00      0.00  |__JS Watchdog
